puuid,gameName,tagLine,platform,region,sha,twitch_url,opgg_url
"FeqJxwl1P3kDS272QU0MqvwhI7t_1WuER4ChZumpSQWH0vcmubCLtrbKeYyRyP9jLOyIFyjROQF9OA","KatiieCutie","wowee","americas","NA","80f589f662f5e191f8b52efd31fc3c03e5b1daa9","https://www.twitch.tv/katiiecandy","https://op.gg/lol/summoners/na/KatiieCutie-wowee"
"It2WIo1VRX9X_1nXMMCiaCsRIfDYi4B0zzAwfY7vXqdWp_aMmx_WiEG7TWe-ivR6sAjJCxZxSA6KMA","ckicki","cjh","europe","EUW","80f589f662f5e191f8b52efd31fc3c03e5b1daa9","https://www.twitch.tv/ckickiplays","https://op.gg/lol/summoners/euw/ckicki-cjh"
"G7AqpIRPLPV7cI_svuvidxrc1aJUuVxnkrwSW8c29Vto6Bh8l9uvhmjCWroHpVAgjaaooVYkGFvd5w","Maya Dimple","Beeva","europe","EUW","80f589f662f5e191f8b52efd31fc3c03e5b1daa9","https://www.twitch.tv/beevalie","https://op.gg/lol/summoners/euw/Maya%20Dimple-Beeva"
"6pgYpEH2GKIktxSv8dtIPRCAJX4zoEerTkFXnXd2sa0_Cbdqq7D1iymBgOz0yu9O8BQr5mbT1znaMg","SophieDewy","NA1","americas","NA","80f589f662f5e191f8b52efd31fc3c03e5b1daa9","https://www.twitch.tv/sophiedewy","https://op.gg/lol/summoners/na/SophieDewy-NA1"
"NlX27Z-0LL8DxRTNbj0s0_VUkVcX-0i9f5AluFd-_7dT3jBXzfQakBm5JXvab-nTi5ffaDILV0ftcQ","PartyPanda","NA1","americas","NA","80f589f662f5e191f8b52efd31fc3c03e5b1daa9","https://www.twitch.tv/partypandatv","https://op.gg/lol/summoners/na/PartyPanda-NA1"
"8ugmJSPKLAEWIC4WTZH_GCZFdGQ0KFo7vlR9fCH8t9tep8AIengu3GOvHldn_sk9fceaoXXmxQVUCA","Seckooh","cute","europe","EUW","80f589f662f5e191f8b52efd31fc3c03e5b1daa9","https://www.twitch.tv/seckooh247","https://op.gg/lol/summoners/euw/Seckooh-cute"
"822nKQgEHMCZACUUlPLbk7OvX1K6onhYryNXfhuSrWvmQjv-ahmWqL-ScH1myfR63TFphEBGD4Cn0g","feet in my mouth","cutie","europe","EUW","80f589f662f5e191f8b52efd31fc3c03e5b1daa9","https://www.twitch.tv/seckooh247","https://op.gg/lol/summoners/euw/feet%20in%20my%20mouth-cutie"
"NqgujIBdd0WYX7w5Cs4LwUG3SwhN7F2Er5_uNt8rh01hIuuxMH_cSkzaHW1poJAa2kVGCxH9MuCcrQ","BDG scarlethawks","0449","europe","EUW","80f589f662f5e191f8b52efd31fc3c03e5b1daa9","https://www.twitch.tv/scarlethawks","https://op.gg/lol/summoners/euw/BDG%20scarlethawks-0449"
"b_GZDE9i7WkqurN0omFUcNreHh08DqMGxNS9wCWmC37mDopev69TlWkIGBJUPz3LL0bicNNAJclqiQ","Losersqueue","LOSE","europe","EUW","80f589f662f5e191f8b52efd31fc3c03e5b1daa9","https://www.twitch.tv/silverline","https://op.gg/lol/summoners/euw/Losersqueue-LOSE"
"R3g4CtYLOLcFqNJ7eaMAjpJGJEAxT8FMR2ojDsfOqekrnk4NM5yfdX49Ga0QukoS8ZgifLz6j39U7g","Silverline","999","europe","EUW","80f589f662f5e191f8b52efd31fc3c03e5b1daa9","https://www.twitch.tv/silverline","https://op.gg/lol/summoners/euw/Silverline-999"
"Gs3g9ufgnXIn65YRC5rn-PJ2VSOGv0h22g9FQyTT8IRF7QzTUQtEN1vrFMe2VQj_TPKC-ypDXk-1zg","Atevasile","1612","europe","EUW","80f589f662f5e191f8b52efd31fc3c03e5b1daa9","https://www.twitch.tv/elisa_veta","https://op.gg/lol/summoners/euw/Atevasile-1612"
"jb1zRKZgOCa3aWrJaWe7bh0ufzAe-xCV1treJ6jfLbn_lw4VRfhTHWbSDZfj9wmqPHX4zdhkwhPkqw","Chobee","wawa","europe","EUW","80f589f662f5e191f8b52efd31fc3c03e5b1daa9","https://www.twitch.tv/kiittwy","https://op.gg/lol/summoners/euw/Chobee-wawa"
"eE_j20YoWi4xYdX5clndxy7BIQMz-0qxaJwhJvVUQXaasiU_FvDYJ6HjpoahAbGEmslXyfdEXJjbcw","Lovely Moo","Moo","europe","EUNE","80f589f662f5e191f8b52efd31fc3c03e5b1daa9","https://www.twitch.tv/looveelymoo","https://op.gg/lol/summoners/eune/Lovely%20Moo-Moo"
"uzW5LF2X-08livdEgmOeycvxbfj6KolF90GSHA-MsVLlwjr1KorpZiSZyztVm0F0wXEsgby4ZC9ABw","BoomSizzle","NA1","americas","NA","80f589f662f5e191f8b52efd31fc3c03e5b1daa9","https://www.twitch.tv/boomsizzle1","https://op.gg/lol/summoners/na/BoomSizzle-NA1"
"cEJV6D7W7RooqZlLbY35ObTyybqFIXvEwGd-JgqoqzOmx2ucaPhx-lsinRqWclw_T2dMcwSeP_kzhQ","briikachu","808","americas","NA","80f589f662f5e191f8b52efd31fc3c03e5b1daa9","https://www.twitch.tv/briikachu","https://op.gg/lol/summoners/na/briikachu-808"
"BApl6as-fDdQlMWUI_lUIsEcj3htdeGA1qx2-tNbc5HdQzzYFFTHI6UZs9KrbuyWH9J-m7d1aOlwnA","Emma Moonstone","NA1","americas","NA","80f589f662f5e191f8b52efd31fc3c03e5b1daa9","https://www.twitch.tv/xricebunnyx","https://op.gg/lol/summoners/na/Emma%20Moonstone-NA1"
"i15FKH7v1T9Mu0vFBAQRZ7lMCcK0Xbt1E5C3lDDh3Ao4uI3Bymp2k4OkGELOEdLx5rY6riZKci-ToA","Kimikoe","NA1","americas","NA","80f589f662f5e191f8b52efd31fc3c03e5b1daa9","https://www.twitch.tv/kimikoe","https://op.gg/lol/summoners/na/Kimikoe-NA1"
"16_b2SCJXDCmNJoDFJuVy-IBaLDig2c2Sx9rZQX_jdCJIfcXZ62PLhX_fYM75BTrxZHPBs7mxq5Bvw","deadgrl0","NA1","americas","NA","80f589f662f5e191f8b52efd31fc3c03e5b1daa9","https://www.twitch.tv/deadgrl0/videos","https://op.gg/lol/summoners/na/deadgrl0-NA1"
"OM8oVSUzCzR2EZ64SfR1HfkTWez2bqou_aEkIpOFL7eKRnvRfW1OAJthSdKygllE8ejWyRal3qrnrA","Briseidhe91","zyra","europe","EUW","80f589f662f5e191f8b52efd31fc3c03e5b1daa9","https://www.twitch.tv/briseidhe","https://op.gg/lol/summoners/euw/Briseidhe91-zyra"
"yV3d1wfsyl7nXht2cJR021MPWTNhFF47Pib7MyWLbRiJDgOaJZwkA2-6VMqnzibqGqbU6Y0oDjJLOg","fairygee","EUW","europe","EUW","80f589f662f5e191f8b52efd31fc3c03e5b1daa9","https://www.twitch.tv/fairygee","https://op.gg/lol/summoners/euw/fairygee-EUW"
"HnWgHS4iSZCxZNaW8uP1PJKnlxqY_eZtuo1_MEvSyqUOb_voYt-sLbyeazL1Kmer9GptOEF-1UacpA","Mikarinki","EUW","europe","EUW","80f589f662f5e191f8b52efd31fc3c03e5b1daa9","https://www.twitch.tv/mikarinkiii","https://op.gg/lol/summoners/euw/Mikarinki-EUW"
"wxwl_JBUA0hi_RiHAwyB4THD3Ce35e5jM-Fg7lXrNvLidXIMiTG-AJBbFOaCk0wkvVMOTzk3d4CS1Q","softie","333","europe","EUW","80f589f662f5e191f8b52efd31fc3c03e5b1daa9","https://www.twitch.tv/softie","https://op.gg/lol/summoners/euw/softie-333"
"4O2IMqMwamkDuUYD-ljDAH3Z87RQ_ZFdNe9rotSbPF8Hovh59QMObOMV8KwSoXviUrM7hEXbuSKOsg","elliexww","1234","europe","EUW","80f589f662f5e191f8b52efd31fc3c03e5b1daa9","https://www.twitch.tv/elliexww","https://op.gg/lol/summoners/euw/elliexww-1234"
"Np-QcxdetLjIZu0u4SyeWx65D4Hhg7ut6Go8_23BWxpYboRmJv0rjHdMsXD_Edv4eiKVAqb1SFxDLQ","G2 de tension","EUW","europe","EUW","80f589f662f5e191f8b52efd31fc3c03e5b1daa9","https://www.twitch.tv/colomblbl","https://op.gg/lol/summoners/euw/G2%20de%20tension-EUW"
"RvfwMM1CnjQ6z-lBaUHb5Y4jHxugT24nj1FUoK8y_7m7zJQ6LcXLikRj0CPvjtwR4bohSVW-V1cCiQ","Sea Guardian","EUW","europe","EUW","80f589f662f5e191f8b52efd31fc3c03e5b1daa9","https://www.twitch.tv/seaguardian1","https://op.gg/lol/summoners/euw/Sea%20Guardian-EUW"
"dcop84ZQpZq-_4gv9ugZxv59cksQmqaWlIq-h6mIjdEU08_VD5vyYEDDN0gbW-ynbJakWUzcpgO-jQ","ittybittybanshee","ITTY","americas","NA","80f589f662f5e191f8b52efd31fc3c03e5b1daa9","https://www.twitch.tv/ittybittybanshee","https://op.gg/lol/summoners/na/ittybittybanshee-ITTY"
"CCyIbXQLqP2GdbsoycDA0GL_6e-klTCOTP6FhXnRBGSMIR-vcKk5E7-HafL2DaofWmDK11MttJGnsQ","ambient","lilah","americas","NA","80f589f662f5e191f8b52efd31fc3c03e5b1daa9","https://www.twitch.tv/ambientttt","https://op.gg/lol/summoners/na/ambient-lilah"
"ytb15IGEl6h_Ks8bP3IIO2Pe33FSTQTP12t8vq9WzM87mz7LDLPyi0TdmWkkKJj18_dgiIssnA8yUg","Mavarreck","1777","europe","EUW","80f589f662f5e191f8b52efd31fc3c03e5b1daa9","https://www.twitch.tv/mavarreck","https://op.gg/lol/summoners/euw/Mavarreck-1777"
"5LoQddJSZW9kHtEfON0dpT0ayX3357aqO309xYb99z-ZpeyyvI0FYL7SejmUAFsY37Yd6ZK_DYNERg","Icy Queen","ICY","europe","EUW","80f589f662f5e191f8b52efd31fc3c03e5b1daa9","https://www.twitch.tv/icy_queen","https://op.gg/lol/summoners/euw/Icy%20Queen-ICY"
"lWxVCRkQeUfC2Vf6FppxvQHrBUK8JtmBoB7q2e_nWb8xGlsrkF8J6dwbriMUrz0-80XHK_kBn3yLdw","Naceeds Kitten","UWU","europe","EUW","80f589f662f5e191f8b52efd31fc3c03e5b1daa9","https://www.twitch.tv/lyanchenlol","https://op.gg/lol/summoners/euw/Naceeds%20Kitten-UWU"
"KLESDqwGNSPcjcPD8Enz9VRnec9LiIfa6LnHoFkNXBe10hI8bmeQ0qvVpYYIDNkkINW808qtOedaHQ","vayne baby","7777","americas","NA","80f589f662f5e191f8b52efd31fc3c03e5b1daa9","https://www.twitch.tv/caracakez","https://op.gg/lol/summoners/na/vayne%20baby-7777"
"gnZ_MipoFb06h2E8xWYSadK76Cu_-vwH7nhR-9matph66U6VtL1Wly07GgDLt_rCBZz3OI7i6e5mAQ","Jottie","3333","americas","NA","80f589f662f5e191f8b52efd31fc3c03e5b1daa9","https://www.twitch.tv/realjottie","https://op.gg/lol/summoners/na/Jottie-3333"
